genesymbol,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,workflow
Tnc,1.9113278051761815e-97,3.9042860163834447,0.708,0.112,3.837181701671701e-93,15,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Plce1,4.687154329227325e-75,3.0010606421582615,0.625,0.104,9.40993103135678e-71,15,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Sox6,1.2052754024708626e-68,2.3878594295002507,1,0.334,2.4197108980005036e-64,15,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Adgrv1,1.9017181758643077e-63,3.1568235297650897,0.708,0.174,3.8178894098651835e-59,15,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Npas3,2.2248063231417073e-63,2.610722589087352,0.967,0.352,4.466521174339292e-59,15,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Creb5,9.988146831600367e-61,2.7633162499636654,0.908,0.362,2.0052203579120898e-56,15,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Maml2,5.9723621660007124e-58,2.2141819306133588,0.942,0.358,1.1990114284463027e-53,15,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Etl4,6.425574824734487e-57,3.1754135096788945,0.633,0.153,1.2899984018136954e-52,15,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Tmem132b,9.819047732599128e-55,2.9561312120276684,0.717,0.207,1.971272022796601e-50,15,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Gli3,1.284354661140089e-53,2.7803866769746386,0.792,0.286,2.5784704177048427e-49,15,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Slc1a3,1.0558240069371016e-52,1.902618567615204,0.983,0.417,2.1196722763269248e-48,15,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Gm29260,6.066527011799638e-52,2.299236608903964,0.992,0.559,1.217915962888895e-47,15,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Slco1c1,4.649384841118489e-50,2.684427688473086,0.558,0.12,9.334105007029479e-46,15,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Ubb,1.7350039013369685e-49,-1.175245891647685,1,1,3.4831938323240984e-45,15,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
H3f3a,5.5643754561784914e-49,-1.168850556746766,1,1,1.117104016582394e-44,15,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Cdon,7.076968631319804e-49,2.4407599756490135,0.958,0.497,1.4207722224237637e-44,15,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Sorcs1,2.5112325361148073e-48,2.92247341181304,0.575,0.137,5.041550439504087e-44,15,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Tmsb4x,6.52651976907018e-47,-1.7382572569276205,1,0.994,1.3102641088385291e-42,15,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Actb,1.2613567236210368e-46,-1.3479601388693698,1,0.998,2.5322997583415934e-42,15,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Stmn1,3.5416548248197e-46,-1.4977133555560815,1,0.991,7.110226226308026e-42,15,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Prdm16,1.2796105048610909e-45,2.408284291971278,0.883,0.397,2.568946049559125e-41,15,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Rgs20,2.5666629640398748e-45,2.6770653509750337,0.658,0.195,5.152832566606453e-41,15,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
H3f3b,2.818940584251431e-44,-1.3095692072793623,1,0.994,5.659305116943173e-40,15,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Zeb1,5.596378088989669e-43,1.9478000667463415,0.967,0.436,1.1235288651455657e-38,15,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Adgrb3,9.446299861449191e-43,2.1147173050683397,1,0.662,1.8964391601845398e-38,15,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Actg1,1.9920354324219587e-42,-1.3176131161415996,1,0.994,3.999210334130325e-38,15,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Mir99ahg,2.1806249684672756e-42,1.3808187584715572,1,0.96,4.377822686694903e-38,15,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Nfia,3.0331662460993605e-42,1.5174024796553125,1,0.882,6.089384555669078e-38,15,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Nrg1,3.4369941970603158e-40,1.8411687107932035,0.992,0.894,6.90010955001829e-36,15,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Qk,5.524561934841484e-40,1.9530282787017037,1,0.688,1.1091110540387764e-35,15,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Rpl15,2.2290426651636528e-39,-1.0333939456285952,1,0.995,4.4750260545825486e-35,15,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Pard3b,5.8290577366279114e-39,2.657269947061524,0.633,0.207,1.1702416312054195e-34,15,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
mt-Cytb,2.1504472872915606e-38,-1.0512267299091498,1,0.997,4.317237973966537e-34,15,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Msi2,2.627736547738513e-38,1.5719829448742355,1,0.759,5.275443893239839e-34,15,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Ptma,3.861085651931054e-38,-0.9581370726031642,1,0.994,7.751515554816786e-34,15,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Csmd1,6.017398557498741e-38,2.4904587069779898,0.992,0.676,1.208052934403447e-33,15,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
mt-Atp6,2.7393139807626428e-37,-1.0517270070369351,1,0.999,5.499446747779082e-33,15,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Chchd2,3.300957126135563e-37,-0.9958042221913752,1,0.993,6.627001526429755e-33,15,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Veph1,4.108839225693422e-37,2.82170061224015,0.467,0.112,8.248905629502114e-33,15,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
mt-Co3,5.379633303771963e-37,-1.0037274562286056,1,1,1.0800151820652591e-32,15,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Ftl1,6.103532750542189e-37,-0.9450958564142375,1,1,1.22534523499885e-32,15,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Fabp7,2.1368948402292097e-36,0.39562518102064415,0.992,0.463,4.2900300812441606e-32,15,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Marcksl1,4.014645696324186e-36,-0.9162395705120584,0.992,0.989,8.059802699940436e-32,15,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Gli2,4.698676710675771e-36,2.3772206208938544,0.583,0.182,9.433063364352677e-32,15,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Prdx2,1.1485009041588564e-35,-0.9163962009279576,1,0.999,2.30573041518932e-31,15,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Tpt1,2.2577919105061365e-35,-0.8130748941373165,1,1,4.53274303953212e-31,15,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Rps7,2.2976855599842147e-35,-0.9752017888318658,1,0.994,4.61283353022431e-31,15,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Ptprz1,2.748826123426714e-35,1.9377563411803744,1,0.765,5.5185433253914695e-31,15,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
mt-Co1,6.356855001183197e-35,-0.9585911348226066,1,1,1.2762022100375388e-30,15,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Rps15a,8.711994937070165e-35,-0.9038557957996214,0.992,0.996,1.7490201035662067e-30,15,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Tuba1a,1.8248504863427022e-34,-1.7143240915775877,1,0.991,3.663569836381609e-30,15,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
mt-Co2,2.21774128799612e-34,-0.9603596285370166,1,1,4.4523374097810105e-30,15,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Zbtb20,3.132476523174354e-34,1.2169828104513782,1,0.807,6.288759867924834e-30,15,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Tubb5,4.0638522022893375e-34,-1.213533757923841,1,0.993,8.158589681316075e-30,15,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Magi1,7.775084312348832e-34,1.497318498967616,1,0.738,1.5609259265471514e-29,15,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Rps27a,1.2888670539733575e-33,-0.8821790968816527,1,0.995,2.5875294975569126e-29,15,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Tubb2b,1.0978952083532524e-32,-1.4154471617068145,1,0.985,2.2041344202899894e-28,15,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Eef1a1,1.1022555485415739e-32,-0.8550122011615775,1,0.996,2.212888239252064e-28,15,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Megf10,1.442355935088947e-32,2.702972597340645,0.383,0.084,2.8956737752845697e-28,15,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Rpl34,1.444192864084599e-32,-0.9055858555127498,0.983,0.995,2.899361593936241e-28,15,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Ppia,1.6096161112944774e-32,-0.9908128282679822,1,0.995,3.2314653050347928e-28,15,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Atp1a2,3.9997344765521673e-32,1.9626766037613952,0.433,0.102,8.029866935126131e-28,15,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Gm3764,4.351411091193071e-32,1.7064396837485512,0.992,0.931,8.73589290667921e-28,15,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Hspa8,5.424782732080263e-32,-0.880599744384658,1,0.994,1.0890793812924336e-27,15,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Ntng1,9.480549759577735e-32,2.953298537950178,0.383,0.087,1.9033151697328263e-27,15,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Cfl1,9.658949907218047e-32,-0.8017106655200807,1,0.993,1.9391307833730956e-27,15,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Tox3,1.4142303658110083e-31,1.5550648858821032,0.933,0.448,2.8392088824021807e-27,15,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Csmd2,1.8906655514348327e-31,1.623750850895635,0.975,0.606,3.79570016106057e-27,15,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Basp1,2.096288707354526e-31,-1.4088483062303685,1,0.969,4.2085092088849464e-27,15,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Tmsb10,2.9585571908692075e-31,-1.2480125654144714,1,0.991,5.939599416389021e-27,15,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Fabp5,4.12023845704473e-31,-1.0219864412980653,0.992,0.986,8.271790726363e-27,15,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Rps4x,5.749148173126874e-31,-0.9366855704138088,1,0.993,1.1541989872369512e-26,15,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Mdga2,6.080878524744505e-31,1.404677289333463,0.917,0.374,1.2207971726277067e-26,15,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Rps3a1,9.514251918640938e-31,-0.8602438196282121,1,0.995,1.9100812151863547e-26,15,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Vit,1.1342945201305266e-30,2.7328145187660304,0.383,0.088,2.277209678614045e-26,15,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Nrcam,1.6521553660172887e-30,1.2953563059836517,0.967,0.45,3.31686711281631e-26,15,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Sumo2,2.7249757651825945e-30,-0.790267692249139,1,0.993,5.470661346180576e-26,15,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Thsd4,1.0632930872457651e-29,3.1104631290173437,0.392,0.097,2.1346672019545983e-25,15,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Gpm6b,1.78604974375381e-29,1.118998165760142,1,0.946,3.5856734655601497e-25,15,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Rpl19,1.8540067586536294e-29,-0.7625319244816327,1,0.997,3.722103968673027e-25,15,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Grik1,2.1710889581501958e-29,3.0321097506439147,0.283,0.051,4.358678192382333e-25,15,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Setbp1,2.3824267920464134e-29,1.072346699857747,1,0.966,4.78296002771238e-25,15,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Rps13,6.957923699113422e-29,-0.7813397190542495,1,0.993,1.3968727618340108e-24,15,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Fbxl7,8.388675665210475e-29,2.435795105707525,0.583,0.215,1.684110526547655e-24,15,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Rnf180,9.748450105545391e-29,1.5406257253847926,0.958,0.52,1.9570988431892928e-24,15,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Hsp90ab1,2.028072333428917e-28,-0.8292432448994131,1,0.994,4.071558016591894e-24,15,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Tox,4.858541211268302e-28,1.3530567506105822,0.867,0.364,9.754007335742243e-24,15,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Zfpm2,5.069030238376507e-28,1.2122803694262347,0.808,0.341,1.0176585106564675e-23,15,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Nkain2,5.538842249640397e-28,1.4827234539416514,0.992,0.777,1.111977970037806e-23,15,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Rpl32,1.1365554019992736e-27,-0.7821026936477953,1,0.996,2.2817486250537415e-23,15,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Zfp536,1.6815404070116606e-27,1.2041783542677449,0.942,0.415,3.37586052111661e-23,15,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Ccnd2,4.416294497569478e-27,0.8537965304818305,0.942,0.426,8.866152833320484e-23,15,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Nckap5,8.181126888586711e-27,1.3712781555323437,1,0.8,1.6424430341526684e-22,15,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Sema5b,1.6069061380012726e-26,1.9085289062817212,0.733,0.367,3.226024762651355e-22,15,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Rplp0,1.6936009946135398e-26,-0.8135796674105613,1,0.999,3.4000733567861427e-22,15,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Rpl35a,1.7838350279093995e-26,-0.753519895577424,1,0.995,3.5812272020309097e-22,15,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Btf3,1.8849215577174824e-26,-0.6940903050888765,1,0.994,3.784168519273618e-22,15,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Rps24,3.5121569108043505e-26,-0.7372429770567672,1,0.998,7.051006214130814e-22,15,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Eif1,4.798159359679552e-26,-0.8094303650857069,0.992,0.997,9.632784730492668e-22,15,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Dbi,7.626892105928227e-26,0.30722753168526573,0.992,0.639,1.531174859186151e-21,15,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Camk2d,7.807368327513196e-26,2.3184489408082554,0.508,0.176,1.5674072654315492e-21,15,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Stox2,9.497158323114328e-26,1.5340526763449946,1,0.838,1.906649504948432e-21,15,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Jpt1,1.425154336545997e-25,-0.8351259449964674,0.992,0.988,2.8611398460497433e-21,15,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Chd7,2.486051532342267e-25,1.4360658965498485,0.867,0.419,4.990997056330336e-21,15,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Sox4,3.4474254662219268e-25,-1.1216613807628049,0.992,0.972,6.921051365987141e-21,15,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Lrp4,3.5062036558680004e-25,2.543249603114832,0.392,0.107,7.039054459520596e-21,15,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Dgkb,4.19379490929817e-25,1.9865761468250995,0.483,0.153,8.419462659907006e-21,15,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Rpl39,4.498347992960115e-25,-0.696448626986403,1,0.999,9.030883430666725e-21,15,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Rps19,1.2277817843791596e-24,-0.6794107670844203,1,0.996,2.464894710319601e-20,15,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Rpl27,1.8391958885704542e-24,-0.6712580491512199,1,0.995,3.6923696658940443e-20,15,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Atxn1,3.595566490624967e-24,1.4925636403656088,1,0.689,7.218459286578683e-20,15,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Rpl30,3.697592920321598e-24,-0.680118863340406,1,0.991,7.423287546837643e-20,15,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Rps21,6.4259161260406936e-24,-0.7783845799138462,1,0.991,1.2900669214639298e-19,15,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Wwox,8.8668855289128825e-24,1.5859085723930708,0.875,0.434,1.7801159387845506e-19,15,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Rpl9,1.0740478633803416e-23,-0.7318055680580722,0.992,0.992,2.1562584905223739e-19,15,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Rps23,1.2609428781444367e-23,-0.6808374603476186,1,0.997,2.5314689221627706e-19,15,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Notch2,1.4056856689756627e-23,2.508368790058384,0.525,0.209,2.8220545490355407e-19,15,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Tanc1,1.4137583569365424e-23,2.724620265637209,0.433,0.142,2.8382612773858026e-19,15,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Rps9,1.4203198071988496e-23,-0.7408391849567955,1,0.997,2.8514340449324107e-19,15,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Tubb3,1.506969746859608e-23,-1.6707515418320709,0.992,0.879,3.025392463795349e-19,15,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Naca,1.571749915898275e-23,-0.665019826666807,1,0.994,3.155445131157377e-19,15,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Atp5f1,2.6382746062369854e-23,-0.7127470386625712,1,0.987,5.296600099481371e-19,15,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Mir100hg,3.066195790141799e-23,0.9503890668888744,1,0.949,6.155694668288676e-19,15,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Ptprg,3.331266371412668e-23,1.0851090174816265,0.933,0.494,6.687850367248073e-19,15,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Rps14,3.34380450222788e-23,-0.7125544985892103,1,0.994,6.71302191867269e-19,15,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Plpp3,3.6542273296781606e-23,1.8719406777940464,0.642,0.305,7.336226787061875e-19,15,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Bcan,3.887124443806872e-23,2.7827863829281165,0.367,0.103,7.803791033386675e-19,15,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Sox2ot,3.9102584862742607e-23,0.8476053946566275,0.608,0.238,7.850234937044206e-19,15,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Rora,4.582671749201402e-23,1.441982773167744,0.867,0.425,9.200171803696736e-19,15,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Ndufa4,7.151171392309051e-23,-0.7527667383382872,1,0.983,1.4356691687199649e-18,15,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Calm2,1.2281478131469428e-22,-0.8309311182924666,1,0.987,2.4656295496738024e-18,15,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Rpl13,1.2658240977812437e-22,-0.6178558657675639,1,0.998,2.5412684587056246e-18,15,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Rpl37a,1.3632969256643405e-22,-0.6349848356550893,1,0.998,2.736954907963729e-18,15,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Pebp1,2.0187451037296525e-22,-0.6682210195053728,0.992,0.989,4.0528326702476496e-18,15,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Hdac9,2.0692076880559247e-22,1.3307262253116627,0.867,0.429,4.154141354541075e-18,15,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Rpl11,2.8340048919158656e-22,-0.5917517646575527,1,0.996,5.689548221010293e-18,15,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Sox11,3.4353244932988677e-22,-1.200847663424342,0.992,0.965,6.8967574527468074e-18,15,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Dynll1,4.998557267434663e-22,-0.7903111976617301,1,0.989,1.0035103570101827e-17,15,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Phlpp1,7.329857406435282e-22,1.4161874059261228,0.992,0.673,1.471542172915947e-17,15,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Rps16,1.1216105014728823e-21,-0.6659951818883001,0.992,0.995,2.2517452427569583e-17,15,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Rpl18a,1.2052362369482283e-21,-0.6730923105702558,1,0.998,2.419632269297263e-17,15,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Hnrnpa0,1.2113056548694895e-21,-0.712282717172698,1,0.987,2.4318172327159872e-17,15,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Shroom3,1.6843074245055666e-21,2.4633192348682993,0.5,0.201,3.381415585437375e-17,15,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Pard3,2.593980688157763e-21,1.2083030325569173,1,0.616,5.207675629545525e-17,15,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Rps5,2.9662774711572477e-21,-0.6357491424364894,1,0.996,5.955098651095292e-17,15,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Cox5a,3.378773124040783e-21,-0.7403516459492783,0.992,0.98,6.783224923824275e-17,15,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Fau,3.496625898167096e-21,-0.6364030824770133,1,0.993,7.019826153160262e-17,15,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Gpc4,3.9673078977941125e-21,2.2547601005542077,0.55,0.244,7.96476733561146e-17,15,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Gnao1,4.287216342255999e-21,1.2614936654321152,0.983,0.849,8.607015528713145e-17,15,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Rps3,4.666759320608212e-21,-0.70823217482116,1,0.991,9.368986012053045e-17,15,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Rps28,5.143510544489225e-21,-0.6200288975718369,1,0.995,1.0326111769116567e-16,15,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Garem1,5.298110097438674e-21,2.5173982789421148,0.458,0.177,1.0636485831617882e-16,15,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Pea15a,5.784083763060946e-21,1.1272193310964425,0.875,0.49,1.1612126562721154e-16,15,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Hint1,7.995408242019904e-21,-0.7340772597703786,0.992,0.986,1.605158158667916e-16,15,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Hnrnpk,8.226474394521313e-21,-0.703270432711216,1,0.991,1.6515469994440988e-16,15,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Slc35f1,1.2382661089777465e-20,1.125145609360882,1,0.827,2.485943040383724e-16,15,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Cdc42,1.3013857342834979e-20,-0.7150401534595936,0.983,0.978,2.6126620001475505e-16,15,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Slc25a4,1.4113477921863088e-20,-0.704037304294125,0.992,0.989,2.8334218275932337e-16,15,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
mt-Nd4,2.2400762438598102e-20,-0.6149408895623267,1,0.997,4.497177067172955e-16,15,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
Rps27,2.727721968644478e-20,-0.672500526372068,0.992,0.99,5.476174624250654e-16,15,seurat_posthocfilt_threshold_doubletfinder_soupx_emptydrops_10xmousebrain
